Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Warranty,Price in Rupees,Rating,Actual price,%Off
"Realme 6 (Comet Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,No data available,"15,999",No data available,No data available,No data available
"Redmi 8 (Onyx Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"9,499",4.4,"₹10,999",13% off
"Realme Narzo 10A (So Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"8,499",4.6,"₹9,999",15% off
"Realme Narzo 10A (So White, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"8,499",4.6,"₹9,999",15% off
"Redmi 8 (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"9,499",4.4,"₹10,999",13% off
"Realme 6 Pro (Lightning Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor,No data available,"17,999",No data available,No data available,No data available
"Realme C3 (Frozen Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,No data available,"8,999",No data available,No data available,No data available
"Realme C3 (Blazing Red, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,No data available,"8,999",No data available,No data available,No data available
"Realme C3 (Blazing Red, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,No data available,"7,999",No data available,No data available,No data available
"Realme C3 (Frozen Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor,No data available,"7,999",No data available,No data available,No data available
"Realme 6 (Comet White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,No data available,"13,999",No data available,No data available,No data available
"Redmi Note 8 Pro (Halo White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,No data available,"16,999",No data available,No data available,No data available
"Motorola G8 Power Lite (Arctic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,16MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio P35 Processor,No data available,"8,999",No data available,No data available,No data available
"OPPO A12 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 (MT6765V/CB) Processor,Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories,"9,990",4.5,"₹10,990",9% off
"Vivo Z1Pro (Sonic Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"13,990",4.5,"₹15,990",12% off
"Vivo Z1Pro (Sonic Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"16,990",4.5,"₹20,990",19% off
"Vivo Z1Pro (Sonic Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"14,990",4.5,"₹17,990",16% off
"Vivo Z1Pro (Sonic Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"13,990",4.5,"₹15,990",12% off
"Vivo Z1Pro (Sonic Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"14,990",4.5,"₹17,990",16% off
"Vivo Z1Pro (Sonic Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,16MP + 2MP + 8MP | 32MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 712 AIE Octa Core 2.3GHz Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"16,990",4.5,"₹20,990",19% off
"Vivo U10 (Electric Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 665 AIE Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"9,990",4.4,"₹10,990",9% off
"Realme 5i (Aqua Blue, 128 GB)",4 GB RAM | 128 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor,No data available,"11,999",No data available,No data available,No data available
"Realme 5i (Forest Green, 64 GB)",4 GB RAM | 64 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,No data available,"10,999",No data available,No data available,No data available
"Realme 5i (Forest Green, 128 GB)",4 GB RAM | 128 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor,No data available,"11,999",No data available,No data available,No data available
"Google Pixel 3a XL (Just Black, 64 GB)",4 GB RAM | 64 GB ROM,15.24 cm (6 inch) Full HD+ Display,12.2MP Rear Camera | 8MP Front Camera,3700 mAh Battery,Qualcomm Snapdragon 670 Processor,Brand Warranty of 1 Year Available for Mobile,"34,999",4.5,"₹44,999",22% off
"Asus ZenFone Max Pro M2 (Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,15.9 cm (6.26 inch) Full HD+ Display,12MP + 5MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 660 Octa Core Processor,No data available,"17,999",No data available,No data available,No data available
"Apple iPhone 11 Pro (Midnight Green, 256 GB)",256 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,No data available,"1,21,300",No data available,No data available,No data available
"Apple iPhone 11 Pro Max (Midnight Green, 256 GB)",256 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor,Brand Warranty for 1 Year,No data available,"1,31,900",No data available,No data available,No data available
"Honor 8X (Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) Full HD+ Display,20MP + 2MP | 16MP Front Camera,3750 mAh Battery,2.2 GHz Kirin 710 Octa Core Processor,No data available,"19,999",No data available,No data available,No data available
"Gionee A1 (Grey, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.97 cm (5.5 inch) Full HD Display,13MP Rear Camera | 16MP Front Camera,4010 mAh Li-Ion Polymer Battery,MediaTek MT6755 Helio P10 Octa Core 2.0GHz Processor,No data available,"21,499",No data available,No data available,No data available
"Honor 9N (Midnight Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"19,999",No data available,No data available,No data available
"Honor 9N (Midnight Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"15,999",No data available,No data available,No data available
"Honor 9N (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"15,999",No data available,No data available,No data available
"Honor 9N (Sapphire Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,14.83 cm (5.84 inches) Display,13MP + 2MP | 16MP Front Camera,3000 mAh Battery,Kirin 659 Octa Core Processor,No data available,"19,999",No data available,No data available,No data available
"Vivo X21 (Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,15.95 cm (6.28 inch) Full HD+ Display,12MP + 5MP | 12MP Front Camera,3200 mAh Li-ion Battery,Qualcomm Snapdragon 660 AIE Processor,No data available,"36,990",No data available,No data available,No data available
